,NMESES_DEUDA_NOR100_1M,MAX_NRO_CUOTAS_AM_8D_ATRASO_3M,AVG_DEUDA_NOR_12M,MAX_NRO_CUOTAS_AM_15D_ATRASO_3M,MAX_NRO_CUOTAS_AM_8D_ATRASO_1M,MAX_DA_VIGENTE_RCC_3M,MAX_NRO_CUOTAS_AM_15D_ATRASO_1M,NMESES_DEUDA_NOR100_12M,MAX_DEUDA_CPP_3M,CALIF_VIGENTE_RCC_1M,MAX_DEUDA_NOR_3M,TARGET_COBRANZA
2795,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2796,0.0,0.0,84.832306,0.0,0.0,27.0,0.0,10.0,92.95,1.0,100.0,1
2797,1.0,1.0,92.30769,0.0,1.0,4.0,0.0,12.0,0.0,0.0,100.0,0
2798,0.0,0.0,92.252304,0.0,0.0,35.0,0.0,11.0,0.0,2.0,100.0,0
2799,1.0,0.0,92.12231,0.0,0.0,1.0,0.0,11.0,0.0,0.0,100.0,0
2800,1.0,2.0,92.30769,1.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2801,1.0,0.0,90.90909,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,0
2802,1.0,0.0,77.84385,0.0,0.0,0.0,0.0,8.0,0.0,0.0,100.0,0
2803,0.0,3.0,61.53846,2.0,1.0,22.0,1.0,3.0,0.0,1.0,54.918,1
2804,0.0,3.0,63.088463,3.0,1.0,26.0,1.0,5.0,100.0,1.0,44.2,1
2805,1.0,0.0,84.61539,0.0,0.0,0.0,0.0,11.0,0.0,0.0,100.0,0
2806,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2807,0.0,3.0,79.61462,3.0,1.0,26.0,1.0,4.0,23.31,0.0,77.15,1
2808,0.0,3.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,3.0,0.0,0
2809,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2810,0.0,2.0,67.95461,1.0,1.0,3.0,0.0,3.0,0.0,3.0,78.17,0
2811,1.0,1.0,92.30769,1.0,0.0,7.0,0.0,12.0,0.0,0.0,100.0,0
2812,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2813,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2814,1.0,2.0,92.30769,1.0,1.0,3.0,1.0,12.0,0.0,0.0,100.0,0
2815,1.0,0.0,91.18,0.0,0.0,0.0,0.0,11.0,0.0,0.0,100.0,0
2816,1.0,3.0,91.666664,3.0,1.0,8.0,1.0,11.0,0.0,0.0,100.0,0
2817,1.0,1.0,85.71429,1.0,1.0,1.0,1.0,6.0,0.0,0.0,100.0,0
2818,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2819,1.0,0.0,87.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,100.0,0
2820,1.0,1.0,86.15462,1.0,0.0,21.0,0.0,8.0,46.07,0.0,100.0,0
2821,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2822,1.0,0.0,92.30769,0.0,0.0,3.0,0.0,12.0,0.0,0.0,100.0,0
2823,0.0,3.0,87.74846,2.0,1.0,14.0,1.0,7.0,11.71,0.0,90.52,0
2824,1.0,3.0,92.30769,0.0,1.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2825,0.0,0.0,75.88846,0.0,0.0,14.0,0.0,8.0,56.13,0.0,100.0,1
2826,0.0,3.0,80.76308,1.0,1.0,15.0,0.0,10.0,100.0,1.0,100.0,0
2827,1.0,0.0,92.30769,0.0,0.0,6.0,0.0,12.0,0.0,0.0,100.0,0
2828,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2829,1.0,2.0,82.823845,2.0,1.0,8.0,1.0,10.0,0.0,0.0,100.0,0
2830,1.0,2.0,91.894615,0.0,1.0,8.0,0.0,11.0,0.0,0.0,100.0,0
2831,0.0,3.0,61.53846,0.0,1.0,20.0,0.0,3.0,47.92,1.0,54.918,0
2832,1.0,0.0,92.30769,0.0,0.0,5.0,0.0,12.0,0.0,0.0,100.0,0
2833,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2834,1.0,0.0,92.30769,0.0,0.0,8.0,0.0,12.0,0.0,0.0,100.0,0
2835,0.0,0.0,53.846153,0.0,0.0,0.0,0.0,7.0,67.46,0.0,0.0,0
2836,0.0,0.0,68.63231,0.0,0.0,27.0,0.0,7.0,61.82,0.0,38.4,1
2837,1.0,0.0,84.933075,0.0,0.0,8.0,0.0,10.0,0.0,0.0,100.0,0
2838,1.0,2.0,88.888885,2.0,0.0,3.0,0.0,8.0,0.0,0.0,100.0,0
2839,1.0,3.0,92.30769,0.0,1.0,5.0,0.0,12.0,0.0,0.0,100.0,0
2840,0.0,3.0,89.356155,2.0,1.0,25.0,1.0,9.0,12.59,1.0,87.41,0
2841,1.0,1.0,89.31923,0.0,0.0,2.0,0.0,1.0,0.0,0.0,100.0,0
2842,1.0,2.0,92.30769,0.0,1.0,6.0,0.0,12.0,0.0,0.0,100.0,0
2843,1.0,1.0,92.30769,0.0,1.0,6.0,0.0,12.0,0.0,0.0,100.0,0
2844,1.0,0.0,83.04846,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,1
2845,1.0,0.0,92.206924,0.0,0.0,0.0,0.0,11.0,0.0,0.0,100.0,0
2846,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2847,0.0,1.0,92.04077,0.0,1.0,26.0,0.0,11.0,3.47,1.0,100.0,0
2848,0.0,3.0,85.23692,3.0,1.0,20.0,1.0,9.0,22.44,1.0,100.0,0
2849,1.0,0.0,90.48385,0.0,0.0,0.0,0.0,11.0,0.0,0.0,100.0,0
2850,1.0,3.0,92.30769,1.0,1.0,3.0,0.0,12.0,0.0,0.0,100.0,0
2851,1.0,1.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2852,1.0,0.0,77.550766,0.0,0.0,1.0,0.0,10.0,0.0,0.0,100.0,0
2853,0.0,0.0,89.895386,0.0,0.0,13.0,0.0,8.0,7.45,0.0,92.55,0
2854,0.0,2.0,86.62769,1.0,0.0,12.0,0.0,9.0,27.28,1.0,100.0,1
2855,1.0,1.0,100.0,1.0,1.0,2.0,1.0,11.0,0.0,0.0,100.0,0
2856,0.0,2.0,21.590769,2.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0
2857,1.0,1.0,100.0,0.0,1.0,7.0,0.0,8.0,0.0,0.0,100.0,0
2858,1.0,1.0,100.0,1.0,0.0,5.0,0.0,11.0,0.0,0.0,100.0,0
2859,1.0,3.0,92.30769,0.0,1.0,8.0,0.0,12.0,0.0,0.0,100.0,0
2860,1.0,1.0,100.0,0.0,1.0,5.0,0.0,9.0,0.0,0.0,100.0,0
2861,1.0,3.0,84.61539,3.0,1.0,4.0,1.0,11.0,0.0,0.0,100.0,0
2862,1.0,0.0,92.30769,0.0,0.0,5.0,0.0,12.0,0.0,0.0,100.0,0
2863,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2864,0.0,3.0,84.90615,3.0,1.0,2.0,1.0,1.0,0.0,0.0,90.08,0
2865,1.0,0.0,92.30769,0.0,0.0,7.0,0.0,12.0,0.0,0.0,100.0,1
2866,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2867,1.0,0.0,90.90909,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100.0,1
2868,0.0,3.0,85.04769,3.0,1.0,24.0,1.0,10.0,33.84,1.0,100.0,1
2869,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2870,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2871,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2872,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
